cas,chemical_name,wave,original_status,phase4_status,merge_cluster_id,representative_cas,independent_evidence,section10_evidence,marginal_coverage,reason,confidence
100-07-2,4-METHOXYBENZOYL CHLORIDE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,103-80-0,False,no_data,none(non-sole-group-member),"동일 그룹조합((7,)) 대표물질 103-80-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
3486-35-9,ZINC CARBONATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,1317-65-3,False,no_data,none(non-sole-group-member),"동일 그룹조합((21,)) 대표물질 1317-65-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10031-87-5,2-ETHYLBUTYL ACETATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,103-23-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((27,)) 대표물질 103-23-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
102-16-9,BENZYL PHENYLACETATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,103-23-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((27,)) 대표물질 103-23-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
103-09-3,ETHYLHEXYL ACETATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,103-23-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((27,)) 대표물질 103-23-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
107-81-3,2-BROMOPENTANE,wave1,REVIEW,REMOVE_CONFIRMED,,107-04-0,False,,none(non-sole-group-member),"동일 그룹조합((31,)) 대표물질 107-04-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
1338-02-9,COPPER NAPHTHENATE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,151-21-3,False,no_data,none(non-sole-group-member),"동일 그룹조합((33, 61)) 대표물질 151-21-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
110-13-4,"2,5-HEXANEDIONE",wave1,UNSUPPORTED,REMOVE_CONFIRMED,,106-51-4,False,no_data,none(non-sole-group-member),"동일 그룹조합((38,)) 대표물질 106-51-4(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
7440-09-7,POTASSIUM,wave1,REVIEW,REMOVE_CONFIRMED,,7439-93-2,False,no_data,none(non-sole-group-member),"동일 그룹조합((40,)) 대표물질 7439-93-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
10124-48-8,MERCURY AMMONIUM CHLORIDE,wave1,UNSUPPORTED,REMOVE_CONFIRMED,,10112-91-1,False,no_data,none(non-sole-group-member),"동일 그룹조합((42, 47)) 대표물질 10112-91-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",high
