substance,cameo_group,selection_reason,section10_text,implemented_hazard_relevant,manual_verdict,verdict_reason,error_type,sampling_strata
"CYCLOHEXANONE PEROXIDE, NOT MORE THAN 72% IN SOLUTION (12262-58-7)","Acetals, Ketals, Hemiacetals, and Hemiketals;Alcohols and Polyols;Peroxides, Organic;Water and Aqueous Solutions",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"의복·(…)·가연성 물질로부터 격리·보관하시오.|가연성 물질(나무, 종이, 기름, 의류 등)",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(1;8;53;68)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g1)
ANTIMONY TRICHLORIDE (10025-91-9),"Acids, Strong Non-oxidizing;Halogenating Agents;Oxidizing Agents, Strong",KOSHA MSDS §10 실측 반응성 근거 존재(metal;water),금속|물,True,TRUE,§10에 구체적 물질군(metal;water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g3)
L-TAURINE (107-35-7),"Acids, Weak;Amines, Phosphines, and Pyridines",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질|자극성, 독성 가스",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(5;14)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g5)
PHENYLACETYL CHLORIDE (103-80-0),"Acyl Halides, Sulfonyl Halides, and Chloroformates",KOSHA MSDS §10 실측 반응성 근거 존재(metal;water),금속|물,True,TRUE,§10에 구체적 물질군(metal;water) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g7)
4-CHLOROBENZALDEHYDE (104-88-1),"Aldehydes;Aryl Halides;Hydrocarbons, Aromatic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질, 환원성 물질",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(9;16;35)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g9)
ACETOACETANILIDE (102-01-2),"Amides and Imides;Amines, Aromatic;Ketones",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질, 환원성 물질",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(12;13;38)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g12)
"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE (100-22-1)","Amines, Phosphines, and Pyridines",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;metal;water),"가연성 물질, 환원성 물질|금속",True,TRUE,§10에 구체적 물질군(combustible_reducing;metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g14)
DICHLONE (117-80-6),Aryl Halides;Ketones;Water and Aqueous Solutions,KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;metal;water),"가연성 물질, 환원성 물질|금속",True,TRUE,§10에 구체적 물질군(combustible_reducing;metal) 명시 — CAMEO 관점에서 실질적 incompatibility 정보,none,group_diversity(g16)
"SODIUM ALUMINATE, SOLUTION (11138-49-1)","Bases, Strong;Water and Aqueous Solutions",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질, 환원성 물질",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(18;68)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g18)
AMMONIUM BICARBONATE (1066-33-7),"Carbonate Salts;Salts, Basic",KOSHA MSDS §10 실측 반응성 근거 존재(combustible_reducing;water),"가연성 물질, 환원성 물질",True,BORDERLINE,"실질 근거가 '가연성 물질, 환원성 물질'(범용 카테고리 문구) 하나뿐이고 물/금속/산화제 등 구체적 물질군 언급이 없음. 동일 문구가 CAMEO 그룹이 서로 무관한 물질들(알데히드/아미드/에폭시드/방향족탄화수소/황화물 등)에 동일하게 반복되며, 이 물질의 실제 true_cameo_groups(21;61)에도 가연성/환원성/산화제/물 관련 그룹이 포함되어 있지 않아 이 물질에 특이적인 근거인지 KOSHA MSDS 템플릿 기본값인지 원문만으로 판단하기 어려움",generic_categorical_phrase,group_diversity(g21)
