query_id,query,cas_a,name_a,cas_b,name_b,wave_a,wave_b,cameo_groups_a,cameo_groups_b,gold_risk_pair,gold_section,query_style,contains_exact_name,contains_exact_cas,involves_review134,difficulty,note,verification_method,human_verified,provenance_tier
indepv2::115-19-5::11138-49-1,"실험실에 2-METHYL-2-HYDROXY-3-BUTYNE와 SODIUM ALUMINATE, SOLUTION가 둘 다 있는데 옆에 놔둬도 되나요?",115-19-5,2-METHYL-2-HYDROXY-3-BUTYNE,11138-49-1,"SODIUM ALUMINATE, SOLUTION",wave1,wave1,8;10,18;68,Incompatible,sec::11138-49-1::10;sec::11138-49-1::2;sec::115-19-5::10;sec::115-19-5::2,name_based,True,False,False,,"희소그룹 10(Alkynes, with Acetylenic Hydrogen) 커버리지",rule_based_self_check,False,DIAGNOSTIC
indepv2::101-27-9::111-54-6,"CAS번호 101-27-9, 111-54-6 조합의 안전성을 검토해줘.",101-27-9,BARBAN,111-54-6,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS",wave1,wave1,11;16;20;31,5;67,Caution,sec::101-27-9::10;sec::101-27-9::2;sec::111-54-6::10;sec::111-54-6::2,cas_based,False,True,False,,"희소그룹 11(Alkynes, with No Acetylenic Hydrogen) 커버리지",rule_based_self_check,False,DIAGNOSTIC
indepv2::101-21-3::7440-23-5,실험실에 ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE와 SODIUM가 둘 다 있는데 옆에 놔둬도 되나요?,101-21-3,ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE,7440-23-5,SODIUM,wave1,wave2,16;20,40,Incompatible,sec::101-21-3::10;sec::101-21-3::2::p1;sec::101-21-3::2::p2;sec::7440-23-5::10;sec::7440-23-5::2,name_based,True,False,False,,희소그룹 20(Carbamates) 커버리지,rule_based_self_check,False,DIAGNOSTIC
indepv2::1558-25-4::7732-18-5,"CAS번호 1558-25-4, 7732-18-5 조합의 안전성을 검토해줘.",1558-25-4,TRICHLORO(CHLOROMETHYL)SILANE,7732-18-5,WATER,wave1,reactive_basics,22;31,68,Incompatible,sec::1558-25-4::10;sec::1558-25-4::2;sec::7732-18-5::10;sec::7732-18-5::2,cas_based,False,True,False,,희소그룹 22(Chlorosilanes) 커버리지,rule_based_self_check,False,DIAGNOSTIC
indepv2::110-16-7::112-02-7,MALEIC ACID랑 HEXADECYLTRIMETHYLAMMONIUM CHLORIDE 같이 보관해도 괜찮을까요?,110-16-7,MALEIC ACID,112-02-7,HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,wave1,wave1,2;23;34,47;57,Caution,sec::110-16-7::10;sec::110-16-7::2;sec::112-02-7::10;sec::112-02-7::2,name_based,True,False,False,,희소그룹 23(Conjugated Dienes) 커버리지,rule_based_self_check,False,DIAGNOSTIC
indepv2::121-17-5::7439-92-1,"CAS번호 121-17-5, 7439-92-1 조합의 안전성을 검토해줘.",121-17-5,3-NITRO-4-CHLOROBENZOTRIFLUORIDE,7439-92-1,LEAD,wave1,wave2,16;30;46,42,Caution,sec::121-17-5::10;sec::121-17-5::2;sec::7439-92-1::10;sec::7439-92-1::2,cas_based,False,True,False,,희소그룹 30(Fluorinated Organic Compounds) 커버리지,rule_based_self_check,False,DIAGNOSTIC
indepv2::7440-41-7::1643-20-5,"실험실에 BERYLLIUM COMPOUND, N.O.S.와 DIMETHYLDODECYLAMINE-N-OXIDE가 둘 다 있는데 옆에 놔둬도 되나요?",7440-41-7,"BERYLLIUM COMPOUND, N.O.S.",1643-20-5,DIMETHYLDODECYLAMINE-N-OXIDE,wave2,wave2,36;41,14;51,Incompatible,sec::1643-20-5::10;sec::1643-20-5::2;sec::7440-41-7::10;sec::7440-41-7::2::p1;sec::7440-41-7::2::p2,name_based,True,False,False,,희소그룹 36(Insufficient Information for Classification) 커버리지,rule_based_self_check,False,DIAGNOSTIC
indepv2::101-68-8::7440-38-2,"CAS번호 101-68-8, 7440-38-2 조합의 안전성을 검토해줘.",101-68-8,"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",7440-38-2,ARSENIC,wave1,wave2,37,42,Caution,sec::101-68-8::10;sec::101-68-8::2::p1;sec::101-68-8::2::p2;sec::7440-38-2::10;sec::7440-38-2::2,cas_based,False,True,True,,희소그룹 37(Isocyanates and Isothiocyanates) 커버리지,rule_based_self_check,False,DIAGNOSTIC
indepv2::12057-74-8::1271-28-9,MAGNESIUM PHOSPHIDE랑 NICKELOCENE 같이 보관해도 괜찮을까요?,12057-74-8,MAGNESIUM PHOSPHIDE,1271-28-9,NICKELOCENE,wave1,wave1,44,49,Caution,sec::12057-74-8::10;sec::12057-74-8::2;sec::1271-28-9::10;sec::1271-28-9::2,name_based,True,False,False,,"희소그룹 44(Nitrides, Phosphides, Carbides, and Silicides) 커버리지",rule_based_self_check,False,DIAGNOSTIC
indepv2::124-38-9::108-88-3,"CAS번호 124-38-9, 108-88-3 조합의 안전성을 검토해줘.",124-38-9,CARBON DIOXIDE,108-88-3,TOLUENE,reactive_basics,wave1,5;48,35,Compatible,sec::108-88-3::10;sec::108-88-3::2::p1;sec::108-88-3::2::p2;sec::124-38-9::10;sec::124-38-9::2,cas_based,False,True,False,,희소그룹 48(Not Chemically Reactive agents) 커버리지,rule_based_self_check,False,DIAGNOSTIC
